time_s,ambient_temp,voltage_V,current_A,SOC_percent,coolant_flow,fan_speed,system_temp,overheat_risk
28740.0,36.61,4.193,high,94.6,normal,fast,cool,0
28800.0,,3.751,0.557,92.8,1.32,fast,warm,0
,high,3.839,2.221,24.1,normal,medium,47.6,1
28920.0,39.66,3.852,1.452,57.2,strong,slow,warm,0
28980.0,20.51,3.626,1.581,medium,,fast,39.45,0
29040.0,21.09,3.653,medium,high,normal,,48.52,1
29100.0,29.33,4.045,high,64.9,normal,2804,38.1,0
29160.0,28.93,medium,1.682,31.1,normal,medium,42.11,1
29220.0,low,4.037,1.998,63.2,weak,slow,41.83,1
29280.0,35.71,4.182,1.37,79.0,strong,fast,30.96,0
29340.0,38.38,,1.568,89.7,1.32,medium,42.35,1
29400.0,21.11,high,1.463,,weak,slow,hot,1
29460.0,40.34,4.142,low,45.6,,slow,,1
29520.0,high,low,1.232,60.3,strong,2804,47.1,1
,37.38,4.188,medium,24.4,normal,2804,29.52,0
29640.0,40.29,,high,56.2,strong,slow,29.42,0
29700.0,,3.622,2.196,86.4,weak,fast,28.41,0
29760.0,low,medium,1.438,62.6,weak,slow,,1
29820.0,low,3.988,medium,92.0,,2804,25.11,0
29880.0,27.89,3.52,1.454,49.5,1.32,fast,49.98,1
29940.0,29.96,4.163,medium,75.5,weak,2804,warm,0
